ciiu_4n4,description,,
A,Agriculture,,
A01,Crop and animal production,,
A011,Growing of non-perennial crops,,
A0111,Growing of cereals (except rice),,
A0112,Growing of rice,,
A0113,Growing of vegetables and melons,,
A0114,Growing of sugar cane,,
A0115,Growing of tobacco,,
A0116,Growing of fibre crops,,
A0119,Growing of other non-perennial crops,,
A012,Growing of perennial crops,,
A0121,Growing of grapes,,
A0122,Growing of tropical and subtropical fruits,,
A0123,Growing of citrus fruits,,
A0124,Growing of pome fruits and stone fruits,,
A0125,Growing of other tree and bush fruits and nuts,,
A0126,Growing of oleaginous fruits,,
A0127,Growing of beverage crops,,
A0128,Growing of spices," drug and pharmaceutical crops""",
A0129,Growing of other perennial crops,,
A013,Plant propagation,,
A0130,Plant propagation,,
A014,Animal production,,
A0141,Raising of cattle and buffaloes,,
A0142,Raising of horses and other equines,,
A0143,Raising of camels and camelids,,
A0144,Raising of sheep and goats,,
A0145,Raising of swine/pigs,,
A0146,Raising of poultry,,
A0149,Raising of other animals,,
A015,Mixed farming,,
A0150,Mixed farming,,
A016,Support activities to agriculture and post-harvest crop activities,,
A0161,Support activities for crop production,,
A0162,Support activities for animal production,,
A0163,Post-harvest crop activities,,
A0164,Seed processing for propagation,,
A017,Hunting,,
A0170,Hunting,,
A02,Forestry and logging,,
A021,Silviculture and other forestry activities,,
A0210,Silviculture and other forestry activities,,
A022,Logging,,
A0220,Logging,,
A023,Gathering of non-wood forest products,,
A0230,Gathering of non-wood forest products,,
A024,Support services to forestry,,
A0240,Support services to forestry,,
A03,Fishing and aquaculture,,
A031,Fishing,,
A0311,Marine fishing,,
A0312,Freshwater fishing,,
A032,Aquaculture,,
A0321,Marine aquaculture,,
A0322,Freshwater aquaculture,,
B,Mining and quarrying,,
B05,Mining of coal and lignite,,
B051,Mining of hard coal,,
B0510,Mining of hard coal,,
B052,Mining of lignite,,
B0520,Mining of lignite,,
B06,Extraction of crude petroleum and natural gas,,
B061,Extraction of crude petroleum,,
B0610,Extraction of crude petroleum,,
B062,Extraction of natural gas,,
B0620,Extraction of natural gas,,
B07,Mining of metal ores,,
B071,Mining of iron ores,,
B0710,Mining of iron ores,,
B072,Mining of non-ferrous metal ores,,
B0721,Mining of uranium and thorium ores,,
B0729,Mining of other non-ferrous metal ores,,
B08,Other mining and quarrying,,
B081,Quarrying of stone,,
B0810,Quarrying of stone,,
B089,Mining and quarrying n.e.c.,,
B0891,Mining of chemical and fertilizer minerals,,
B0892,Extraction of peat,,
B0893,Extraction of salt,,
B0899,Other mining and quarrying n.e.c.,,
B09,Mining support service activities,,
B091,Support activities for petroleum and natural gas extraction,,
B0910,Support activities for petroleum and natural gas extraction,,
B099,Support activities for other mining and quarrying,,
B0990,Support activities for other mining and quarrying,,
C,Manufacturing,,
C10,Manufacture of food products,,
C101,Processing and preserving of meat,,
C1010,Processing and preserving of meat,,
C102,Processing and preserving of fish,,
C1020,Processing and preserving of fish,,
C103,Processing and preserving of fruit and vegetables,,
C1030,Processing and preserving of fruit and vegetables,,
C104,Manufacture of vegetable and animal oils and fats,,
C1040,Manufacture of vegetable and animal oils and fats,,
C105,Manufacture of dairy products,,
C1050,Manufacture of dairy products,,
C106,Manufacture of grain mill products,,
C1061,Manufacture of grain mill products,,
C1062,Manufacture of starches and starch products,,
C107,Manufacture of other food products,,
C1071,Manufacture of bakery products,,
C1072,Manufacture of sugar,,
C1073,Manufacture of cocoa,,
C1074,Manufacture of macaroni," couscous and similar farinaceous products""",
C1075,Manufacture of prepared meals and dishes,,
C1079,Manufacture of other food products n.e.c.,,
C108,Manufacture of prepared animal feeds,,
C1080,Manufacture of prepared animal feeds,,
C11,Manufacture of beverages,,
C110,Manufacture of beverages,,
C1101,Distilling,,
C1102,Manufacture of wines,,
C1103,Manufacture of malt liquors and malt,,
C1104,Manufacture of soft drinks; production of mineral waters and other bottled waters,,
C12,Manufacture of tobacco products,,
C120,Manufacture of tobacco products,,
C1200,Manufacture of tobacco products,,
C13,Manufacture of textiles,,
C131,Spinning,,
C1311,Preparation and spinning of textile fibres,,
C1312,Weaving of textiles,,
C1313,Finishing of textiles,,
C139,Manufacture of other textiles,,
C1391,Manufacture of knitted and crocheted fabrics,,
C1392,Manufacture of made-up textile articles,,
C1393,Manufacture of carpets and rugs,,
C1394,Manufacture of cordage," twine and netting""",
C1399,Manufacture of other textiles n.e.c.,,
C14,Manufacture of wearing apparel,,
